,Clean_Job_decription,skills
0,know automotive diagnosis uds implementation iso14229hands experience device driver development infineon controller experience programming embedded cshould detailed knowledge microcontrollersstrong communication skill interpersonal skill problem solving skillsmust self starter self learnerability work part dedicated project team independentlystrong c programming skillsembedded development tool methodologieshands experience debugger compilersstrong analysis debugging skillsdiagnosis event manager dem failure management fm experience configuration management defect tracking toolsexperience using tool like function generator oscilloscope etc experience embedded security domain added advantage,"['debugging', 'security']"
1,total 4 year experience min 2 year experience ibm planning analytics min 2 ibm tm1experience least 2 project complete software development lifecycleexperience implementing least 2 end end ibm pa tm1 projectsmin 2 year experience developing end end analytics solution including system configuration model building data security reporting tm1 cube rule ti process active form web sheet experience design develop new functionality integrate existing complex model experience m excel vba scripting sql basic window batch script unix experience object oriented programming language preferably python experience job scheduler monitoring tool preferably cubewise pulse,"['4 year', 'tm1experience least 2', 'security', 'programming language', 'python', 'design', 'tm1', '2 year', 'monitoring', 'software', 'ibm', 'vba', '2', 'analytics']"
2,total 8 year experience 3 year experience leading development teamexperience least 3 project complete software development lifecyclemin 2 year experience ibm pamin 5 year experience ibm tm1experience implementing least 2 end end ibm pa tm1 projectsmin 5 year experience development end end analytics solution including system configuration model building data security reporting tm1 cube rule ti process active form web sheet experience design develop new functionality integrate existing complex model experience unix experience object oriented programming language preferably python experience job scheduler monitoring tool preferably cubewise pulse m excel vba scriptingsql window batch script,"['teamexperience least 3', 'programming language', 'security', 'python', 'design', 'tm1', '3 year', '2 year', 'monitoring', '8 year', 'software', 'ibm', 'vba', '5 year', '2', 'analytics']"
3,work experience 8 12 yearswork location bangaloremust skill microsoft team development skype business o356 m365good skill microsoft sharepoint server azure exchange servero365 m365 migration premise work experience least one migration mandatoryunderstand customer business need technical requirement design o365 m365 solutionsdesigning o365 m365 solutionsability architect enterprise solution m team skype collaboration technologieshands experience planning design deployment m team skype onlineability extend m team skype exchange architecture technologiesdeep experience m team skype exhange office 365office 365 identity synchronization planning design deployment aad connect service office 365 identity management active directory federation servicesazure active directory conditional access office 365 third party applicationsunderstanding active directory dns group policieswindows powershell automation day day administrative office 365 configuration tasksability create deliver technical presentation training good client expectation management presentation skillsability build relationship credibility customer quickly good problem solving analytical skillsexcellent organization planning skill,"['365 third', 'o356', 'skype', 'business', 'server', '365office', 'design', 'synchronization', 'deployment', 'day day', 'collaboration', '8 12', 'one', '365', 'azure']"
4,job description financial analysis reportingpricing monthly business reporting related business model profitability statement analysisinternal statutory audit support monthly annual provision computation posting sap follow billing closure revenue optimisation analysis absorption financialsother related finance activitiestransfer pricing control usa poland uk,"['business', 'annual', 'computation', 'finance', 'control usa poland', 'support', 'monthly']"
5,experience programming embedded c application strong background c inheritance template pointer strong cyber security knowledge opengl opengl e knowledge added advantage experience rendering engine like open scene graph added advantage strong communication interpersonal skill must self starter ability work part dedicated project team independently strong c programming skill automotive domain design methodology using ooad uml embedded development tool methodology version control system clear case rtc gitstrong development experience embedded c rtosshould detailed knowledge microcontrollers microprocessor arm renesas preferable strong development experience ethernet flexray uds kwp spi uart i2c communication protocolsknowledge tool like canalyser canoe candiva canstress candela studio lauterbachexperience configuration management defect tracking toolsstrong debugging skillsexperience using tool like logiscope function generator oscilloscope etc,"['i2c', 'canoe candiva', 'security', 'design', 'microprocessor', 'opengl opengl e knowledge', 'rtc gitstrong', 'ethernet', 'kwp', 'version control system', 'candela', 'debugging']"
6,feature subsystem ownership customer project e g specialist feature function responsible customer interaction product requirement analysis responsible system requirement design implementation function base sw development advanced driver assistance system responsible development execution necessary test part development responsible handling complex task delivery subcomponents feature mentoring lesser experienced team member progression towards topic ownership contribute improve team training competency plan active contribution towards debugging complex issue solution,"['design', 'interaction', 'debugging']"
7,pcm responsible component project task regarding time quality cost pcm report progress component project especially case deviation target pjm tpm pcm involves expert team nedded pcm support pjm tpm customer meeting necessary key task responsibility define detailed project schedule component levelhandling technical request organize moderate pcme set project management plan component project included project pmpplan project cost setup maintain track development order ea component ensure fulfilment project target component level report status adequate level track component development schedule compatible project milestone actual v plan ensure customer sample quality timingmanage component requirementsensure process compliance select manage suppliersperform risk management component level,"['project management', 'schedule', 'component', 'support']"
8,tasksdevelopment bootloader software various product linesunderstanding specification oems estimation implementation product line platforminteractions product line team basic software platform teamsmaintenance delivered bootloader softwaresingle point contact technical query assigned product lineguiding mentoring team profile mandatory competenciesexpertise c languageworking experience bootloader software developmentstrong microcontroller basic knowledge automotive domain diagnostics uds kwp 2000 eeprom spi flexray ethernet doipknowledge tool scripting language like canoe cananlyser capl perlpassion work different microcontroller develop low lever driversembedded software de bugging skillsgood problem solving skillsdesirable skillsknowledge autosar architectureknowledge integrating basic software,"['scripting language', 'ethernet', 'software', 'microcontroller', 'specification']"
9,feature subsystem ownership customer project e g specialist feature function responsible customer interaction product requirement analysis responsible system requirement design implementation function base sw development diagnostics uds memory stack advanced driver assistance system responsible development execution necessary test part development responsible handling complex task delivery subcomponents feature mentoring lesser experienced team member progression towards topic ownership contribute improve team training competency plan active contribution towards debugging complex issue solution,"['design', 'interaction', 'debugging']"
